ticker,entry_date,entry,exit,pnl,exit_reason,type
MBB,129,27050.0,25832.75,-4.5,SL,PULLBACK
MSN,133,81900.0,78214.5,-4.5,SL,PULLBACK
KDH,132,33900.0,32374.5,-4.5,SL,PULLBACK
DGC,155,92550.0,88385.25,-4.5,SL,PULLBACK
DGC,155,92550.0,88385.25,-4.5,SL,EMA_CROSS
REE,155,68000.0,64940.0,-4.5,SL,EMA_CROSS
REE,159,65000.0,62075.0,-4.5,SL,PULLBACK
TPB,129,18290.0,17466.95,-4.4999999999999964,SL,PULLBACK
DHG,166,103700.0,102000.0,-1.639344262295082,Time Exit,PULLBACK
SHB,126,17900.0,17094.5,-4.5,SL,PULLBACK
VCI,57,35970.0,38847.600000000006,8.000000000000016,TP,PULLBACK
VCI,125,43170.0,41227.35,-4.5000000000000036,SL,PULLBACK
VCI,129,42380.0,40472.9,-4.4999999999999964,SL,PULLBACK
KBC,189,35600.0,33998.0,-4.5,SL,EMA_CROSS
GEX,125,55200.0,59616.00000000001,8.000000000000012,TP,PULLBACK
GEX,126,55500.0,59940.00000000001,8.000000000000012,TP,PULLBACK
GEX,127,55900.0,60372.00000000001,8.000000000000012,TP,PULLBACK
GEX,133,57200.0,54626.0,-4.5,SL,PULLBACK
GEX,134,56000.0,53480.0,-4.5,SL,PULLBACK
HT1,137,17400.0,16617.0,-4.5,SL,PULLBACK
HSG,76,18000.0,19440.0,8.0,TP,PULLBACK
DBC,167,27950.0,26692.25,-4.5,SL,EMA_CROSS
HCM,76,24830.0,26816.4,8.000000000000005,TP,PULLBACK
HCM,123,27390.0,26157.449999999997,-4.500000000000011,SL,PULLBACK
HCM,129,26500.0,25307.5,-4.5,SL,PULLBACK
BWE,58,46650.0,48110.0,3.1296891747052515,Time Exit,PULLBACK
BWE,60,46210.0,49906.8,8.000000000000005,TP,PULLBACK
BWE,65,46990.0,48010.0,2.1706746116194933,Time Exit,PULLBACK
BWE,66,46850.0,47620.0,1.6435432230522944,Time Exit,PULLBACK
BWE,68,46210.0,49906.8,8.000000000000005,TP,PULLBACK
BWE,140,48500.0,46317.5,-4.5,SL,EMA_CROSS
VOS,76,14060.0,13427.3,-4.500000000000005,SL,PULLBACK
CSV,76,35650.0,34045.75,-4.5,SL,PULLBACK
SGN,76,64400.00000000001,63730.0,-1.0403726708074645,Time Exit,PULLBACK
NBB,90,24250.0,23158.75,-4.5,SL,PULLBACK
DPR,188,39900.0,43092.0,8.0,TP,EMA_CROSS
NHA,81,20420.0,22053.600000000002,8.00000000000001,TP,PULLBACK
GEG,76,16350.000000000002,17658.000000000004,8.00000000000001,TP,PULLBACK
ORS,134,14450.0,15606.000000000002,8.000000000000012,TP,PULLBACK
HDC,133,34060.0,32527.3,-4.500000000000002,SL,PULLBACK
DMC,121,61560.0,61000.0,-0.9096816114359974,Time Exit,PULLBACK
SVC,170,26300.0,25116.5,-4.5,SL,EMA_CROSS
KSB,76,17850.0,19278.0,8.0,TP,PULLBACK
KSB,81,18500.0,19980.0,8.0,TP,PULLBACK
HHS,129,18000.0,17190.0,-4.5,SL,PULLBACK
VTO,62,12750.0,12700.0,-0.39215686274509803,Time Exit,PULLBACK
VTO,86,13000.0,12415.0,-4.5,SL,PULLBACK
QCG,178,15150.0,14468.25,-4.5,SL,PULLBACK
HAH,139,59900.0,64692.00000000001,8.000000000000012,TP,EMA_CROSS
DPG,76,45150.0,43118.25,-4.5,SL,PULLBACK
TV2,76,37920.0,36213.6,-4.5000000000000036,SL,PULLBACK
BSI,76,45950.0,49626.0,8.0,TP,PULLBACK
VIP,76,13050.0,14094.000000000002,8.000000000000014,TP,PULLBACK
SRC,178,52800.0,50424.0,-4.5,SL,PULLBACK
DVN,93,22370.0,21363.35,-4.500000000000007,SL,PULLBACK
GDT,60,20650.0,19720.75,-4.5,SL,PULLBACK
GDT,98,19990.0,19800.0,-0.9504752376188095,Time Exit,PULLBACK
GDT,167,20130.0,19224.149999999998,-4.500000000000011,SL,EMA_CROSS
VRC,178,14150.0,15282.000000000002,8.000000000000012,TP,EMA_CROSS
PGI,179,22000.0,21010.0,-4.5,SL,EMA_CROSS
CTS,133,41800.0,39919.0,-4.5,SL,PULLBACK
