ticker,entry_date,entry,exit,pnl,exit_reason,type
VCB,89,63840.0,64478.4,1.0000000000000022,Trailing SL,PULLBACK
VCB,125,64600.0,61693.0,-4.5,Trailing SL,PULLBACK
VHM,133,108000.0,109080.0,1.0,Trailing SL,PULLBACK
VHM,179,114900.0,116049.0,1.0,Trailing SL,EMA_CROSS
HPG,195,27600.0,26358.0,-4.5,Trailing SL,EMA_CROSS
TCB,194,35600.0,35956.0,1.0,Trailing SL,PULLBACK
VPB,192,30500.0,29127.5,-4.5,Trailing SL,EMA_CROSS
VPB,193,29500.0,29795.0,1.0,Trailing SL,PULLBACK
VPB,194,29000.0,29290.0,1.0,Trailing SL,PULLBACK
MBB,76,20150.0,20351.5,1.0,Trailing SL,PULLBACK
MBB,129,27050.0,25832.75,-4.5,Trailing SL,PULLBACK
MSN,129,82500.0,89100.0,8.0,TP,PULLBACK
MSN,133,81900.0,78214.5,-4.5,Trailing SL,PULLBACK
FPT,193,99800.0,100798.0,1.0,Trailing SL,EMA_CROSS
BID,127,40750.0,38916.25,-4.5,Trailing SL,PULLBACK
BID,129,39600.0,37818.0,-4.5,Trailing SL,PULLBACK
CTG,132,36090.0,34465.95,-4.500000000000008,Trailing SL,PULLBACK
CTG,181,35000.0,35350.0,1.0,Trailing SL,PULLBACK
GAS,179,65300.0,65953.0,1.0,Trailing SL,PULLBACK
HDB,170,24790.0,23674.45,-4.499999999999997,Trailing SL,PULLBACK
BCM,151,66750.0,63746.25,-4.5,Trailing SL,EMA_CROSS
KDH,131,34200.0,32661.0,-4.5,Trailing SL,PULLBACK
KDH,132,33900.0,32374.5,-4.5,Trailing SL,PULLBACK
DGC,86,103380.0,98727.9,-4.500000000000005,Trailing SL,PULLBACK
DGC,155,92550.0,88385.25,-4.5,Trailing SL,PULLBACK
DGC,155,92550.0,88385.25,-4.5,Trailing SL,EMA_CROSS
REE,155,68000.0,64940.0,-4.5,Trailing SL,EMA_CROSS
REE,159,65000.0,62075.0,-4.5,Trailing SL,PULLBACK
TPB,129,18290.0,18472.9,1.000000000000008,Trailing SL,PULLBACK
TPB,130,18760.0,17915.8,-4.5000000000000036,Trailing SL,PULLBACK
ACB,76,22750.0,24570.0,8.0,TP,PULLBACK
PNJ,101,86130.0,82300.0,-4.446766515732032,Time Exit,PULLBACK
PNJ,129,83890.0,90601.20000000001,8.000000000000014,TP,PULLBACK
PNJ,133,83090.0,83920.9,0.9999999999999929,Trailing SL,PULLBACK
PNJ,134,86070.0,86930.7,0.9999999999999966,Trailing SL,PULLBACK
DHG,166,103700.0,102000.0,-1.639344262295082,Time Exit,PULLBACK
DHG,167,103800.0,102500.0,-1.2524084778420037,Time Exit,PULLBACK
DHG,168,104000.0,102700.0,-1.25,Time Exit,PULLBACK
GMD,140,69200.0,66086.0,-4.5,Trailing SL,PULLBACK
GMD,142,68100.0,68781.0,1.0,Trailing SL,PULLBACK
SHB,126,17900.0,18079.0,1.0,Trailing SL,PULLBACK
VCI,57,35970.0,38847.600000000006,8.000000000000016,TP,PULLBACK
VCI,125,43170.0,43601.7,0.9999999999999932,Trailing SL,PULLBACK
VCI,129,42380.0,40472.9,-4.4999999999999964,Trailing SL,PULLBACK
KBC,131,37000.0,35335.0,-4.5,Trailing SL,PULLBACK
KBC,132,36000.0,34380.0,-4.5,Trailing SL,PULLBACK
KBC,189,35600.0,35956.0,1.0,Trailing SL,EMA_CROSS
GEX,125,55200.0,55752.0,1.0,Trailing SL,PULLBACK
GEX,126,55500.0,56055.0,1.0,Trailing SL,PULLBACK
GEX,127,55900.0,56459.0,1.0,Trailing SL,PULLBACK
GEX,128,55000.0,55550.0,1.0,Trailing SL,PULLBACK
GEX,133,57200.0,54626.0,-4.5,Trailing SL,PULLBACK
GEX,134,56000.0,53480.0,-4.5,Trailing SL,PULLBACK
HT1,137,17400.0,17574.0,1.0,Trailing SL,PULLBACK
HT1,195,16850.0,16091.75,-4.5,Trailing SL,EMA_CROSS
HSG,76,18000.0,18180.0,1.0,Trailing SL,PULLBACK
VND,124,23700.0,23937.0,1.0,Trailing SL,PULLBACK
VND,125,23850.0,22776.75,-4.5,Trailing SL,PULLBACK
VND,129,23350.0,23583.5,1.0,Trailing SL,PULLBACK
EVF,129,13950.0,14089.5,1.0,Trailing SL,PULLBACK
DBC,105,29400.0,28077.0,-4.5,Trailing SL,PULLBACK
DBC,105,29400.0,28077.0,-4.5,Trailing SL,EMA_CROSS
DBC,167,27950.0,26692.25,-4.5,Trailing SL,EMA_CROSS
DBC,177,27900.0,26644.5,-4.5,Trailing SL,PULLBACK
HCM,76,24830.0,25078.3,0.9999999999999971,Trailing SL,PULLBACK
HCM,123,27390.0,26157.449999999997,-4.500000000000011,Trailing SL,PULLBACK
HCM,125,26950.0,25737.25,-4.5,Trailing SL,PULLBACK
HCM,129,26500.0,25307.5,-4.5,Trailing SL,PULLBACK
HCM,130,26260.0,25078.3,-4.500000000000003,Trailing SL,PULLBACK
CTD,129,79070.0,75511.84999999999,-4.500000000000011,Trailing SL,PULLBACK
DGW,87,46600.0,44503.0,-4.5,Trailing SL,PULLBACK
HDG,133,32150.0,30703.25,-4.5,Trailing SL,PULLBACK
BWE,58,46650.0,47116.5,1.0,Trailing SL,PULLBACK
BWE,60,46210.0,46672.1,0.9999999999999969,Trailing SL,PULLBACK
BWE,63,46850.0,47318.5,1.0,Trailing SL,PULLBACK
BWE,65,46990.0,47459.9,1.000000000000003,Trailing SL,PULLBACK
BWE,66,46850.0,47318.5,1.0,Trailing SL,PULLBACK
BWE,68,46210.0,46672.1,0.9999999999999969,Trailing SL,PULLBACK
BWE,81,47570.0,48045.7,0.999999999999994,Trailing SL,PULLBACK
BWE,140,48500.0,46317.5,-4.5,Trailing SL,EMA_CROSS
SCS,56,60110.0,60711.1,0.9999999999999976,Trailing SL,PULLBACK
VOS,76,14060.0,13427.3,-4.500000000000005,Trailing SL,PULLBACK
VOS,89,14570.0,14715.7,1.000000000000005,Trailing SL,PULLBACK
CSV,76,35650.0,34045.75,-4.5,Trailing SL,PULLBACK
TCH,103,20430.0,20634.3,0.9999999999999963,Trailing SL,PULLBACK
SGN,76,64400.0,65044.0,1.0,Trailing SL,PULLBACK
SGN,77,64210.0,64852.1,0.9999999999999978,Trailing SL,PULLBACK
NBB,90,24250.0,24492.5,1.0,Trailing SL,PULLBACK
DPR,188,39900.0,40299.0,1.0,Trailing SL,EMA_CROSS
NHA,81,20420.0,20624.2,1.0000000000000036,Trailing SL,PULLBACK
NHA,116,21030.0,20083.649999999998,-4.500000000000011,Trailing SL,PULLBACK
GEG,76,16350.0,16513.5,1.0,Trailing SL,PULLBACK
HAG,182,17900.0,17094.5,-4.5,Trailing SL,PULLBACK
ORS,134,14450.0,14594.5,1.0,Trailing SL,PULLBACK
HDC,133,34060.0,32527.3,-4.500000000000002,Trailing SL,PULLBACK
DMC,120,61560.0,61200.0,-0.5847953216374269,Time Exit,PULLBACK
DMC,121,61560.0,61000.0,-0.9096816114359974,Time Exit,PULLBACK
SVC,170,26300.0,26563.0,1.0,Trailing SL,EMA_CROSS
KSB,76,17850.0,18028.5,1.0,Trailing SL,PULLBACK
KSB,81,18500.0,19980.0,8.0,TP,PULLBACK
HHS,129,18000.0,18180.0,1.0,Trailing SL,PULLBACK
SSB,89,20650.0,20856.5,1.0,Trailing SL,PULLBACK
SZL,192,48200.0,48682.0,1.0,Trailing SL,PULLBACK
VTO,62,12750.0,12877.5,1.0,Trailing SL,PULLBACK
VTO,66,12650.0,12776.5,1.0,Trailing SL,PULLBACK
VTO,86,13000.0,12415.0,-4.5,Trailing SL,PULLBACK
QCG,178,15150.0,14468.25,-4.5,Trailing SL,PULLBACK
GIL,88,20000.0,19100.0,-4.5,Trailing SL,PULLBACK
PDR,133,24200.0,23111.0,-4.5,Trailing SL,PULLBACK
OCB,123,13250.0,12653.75,-4.5,Trailing SL,PULLBACK
HAH,139,59900.0,60499.0,1.0,Trailing SL,EMA_CROSS
DPG,76,45150.0,43118.25,-4.5,Trailing SL,PULLBACK
TV2,76,37920.0,38299.2,0.9999999999999923,Trailing SL,PULLBACK
KOS,53,38800.0,38800.0,0.0,Time Exit,PULLBACK
SIP,52,58220.0,58802.2,0.999999999999995,Trailing SL,PULLBACK
BMI,62,18810.0,18150.0,-3.508771929824561,Time Exit,PULLBACK
BMI,63,18680.0,17839.399999999998,-4.5000000000000115,Trailing SL,PULLBACK
BMI,89,19210.0,19402.1,0.9999999999999923,Trailing SL,PULLBACK
BMI,140,19850.0,20048.5,1.0,Trailing SL,PULLBACK
BSI,76,45950.0,46409.5,1.0,Trailing SL,PULLBACK
HTN,60,10150.0,10251.5,1.0,Trailing SL,PULLBACK
HTN,76,10600.0,10123.0,-4.5,Trailing SL,PULLBACK
AGG,62,16900.0,18252.0,8.0,TP,PULLBACK
VIP,76,13050.0,14094.000000000002,8.000000000000014,TP,PULLBACK
SRC,178,52800.0,50424.0,-4.5,Trailing SL,PULLBACK
DVN,93,22370.0,21363.35,-4.500000000000007,Trailing SL,PULLBACK
GDT,60,20650.0,19720.75,-4.5,Trailing SL,PULLBACK
GDT,98,19990.0,19800.0,-0.9504752376188095,Time Exit,PULLBACK
GDT,167,20130.0,19224.149999999998,-4.500000000000011,Trailing SL,EMA_CROSS
VRC,178,14150.0,14291.5,1.0,Trailing SL,EMA_CROSS
PGI,179,22000.0,21010.0,-4.5,Trailing SL,EMA_CROSS
CTS,133,41800.0,39919.0,-4.5,Trailing SL,PULLBACK
TCO,91,12150.0,11603.25,-4.5,Trailing SL,PULLBACK
KLB,148,16700.0,15948.5,-4.5,Trailing SL,PULLBACK
KLB,185,16700.0,16867.0,1.0,Trailing SL,PULLBACK
TLG,192,52200.0,52722.0,1.0,Trailing SL,PULLBACK
LBM,150,35330.0,35683.3,1.0000000000000082,Trailing SL,PULLBACK
LBM,164,35750.0,36107.5,1.0,Trailing SL,PULLBACK
NHH,162,11850.0,11968.5,1.0,Trailing SL,EMA_CROSS
HVH,69,14300.0,14443.0,1.0,Trailing SL,PULLBACK
HVH,72,14050.0,14190.5,1.0,Trailing SL,PULLBACK
HVH,75,14000.0,14140.0,1.0,Trailing SL,PULLBACK
HVH,97,13850.0,13226.75,-4.5,Trailing SL,PULLBACK
