ticker,entry_date,entry,exit,pnl,exit_reason,type
VCB,89,63840.0,65435.99999999999,2.499999999999989,Trailing SL,PULLBACK
VCB,125,64600.0,61693.0,-4.5,Trailing SL,PULLBACK
VHM,133,108000.0,110699.99999999999,2.4999999999999867,Trailing SL,PULLBACK
VHM,179,114900.0,117772.49999999999,2.499999999999987,Trailing SL,EMA_CROSS
HPG,128,29000.0,27695.0,-4.5,Trailing SL,PULLBACK
HPG,195,27600.0,26358.0,-4.5,Trailing SL,EMA_CROSS
TCB,194,35600.0,35450.0,-0.42134831460674155,Time Exit,PULLBACK
VPB,192,30500.0,29127.5,-4.5,Trailing SL,EMA_CROSS
VPB,193,29500.0,28172.5,-4.5,Trailing SL,PULLBACK
VPB,194,29000.0,29724.999999999996,2.499999999999987,Trailing SL,PULLBACK
MBB,76,20150.0,22165.0,10.0,TP,PULLBACK
MBB,129,27050.0,25832.75,-4.5,Trailing SL,PULLBACK
MSN,129,82500.0,90750.00000000001,10.000000000000018,TP,PULLBACK
MSN,133,81900.0,78214.5,-4.5,Trailing SL,PULLBACK
FPT,193,99800.0,102294.99999999999,2.499999999999986,Trailing SL,EMA_CROSS
BID,51,35600.0,38470.0,8.061797752808989,Time Exit,PULLBACK
BID,127,40750.0,38916.25,-4.5,Trailing SL,PULLBACK
BID,129,39600.0,37818.0,-4.5,Trailing SL,PULLBACK
CTG,132,36090.0,34465.95,-4.500000000000008,Trailing SL,PULLBACK
CTG,175,34700.0,38170.0,10.0,TP,PULLBACK
CTG,181,35000.0,38500.0,10.0,TP,PULLBACK
GAS,87,65890.0,62924.95,-4.500000000000004,Trailing SL,PULLBACK
GAS,179,65300.0,66932.5,2.5,Trailing SL,PULLBACK
HDB,134,24950.0,25573.749999999996,2.499999999999986,Trailing SL,PULLBACK
HDB,169,24290.0,23196.95,-4.499999999999997,Trailing SL,PULLBACK
HDB,170,24790.0,23674.45,-4.499999999999997,Trailing SL,PULLBACK
BCM,151,66750.0,63746.25,-4.5,Trailing SL,EMA_CROSS
