date,code,strategy,entry_price,stop_loss,take_profit,rsi,volume_ratio,entry_date,exit_date,days_held,exit_price,shares,gross_pnl,net_pnl,pnl_percent,exit_reason,commission,r_r_ratio,hold_days
2023-03-23,SHB,BREAKOUT,6.556549999999999,6.222499999999999,7.205,66.18705035971226,2.9293964692524805,2023-03-23,2023-04-05,13,7.197795,3050384.7297740434,1956043.9560439608,1893109.8901098948,9.465549450549474,TAKE_PROFIT,62934.06593406595,,
2023-03-28,SHB,BREAKOUT,6.766759999999999,6.422,7.436,67.13286713286716,1.9383392066963978,2023-03-28,2023-04-10,13,7.428564,2955624.257399406,1956043.9560439591,1893109.8901098932,9.465549450549466,TAKE_PROFIT,62934.06593406594,,
2023-11-08,SHB,BREAKOUT,8.358349999999998,7.932499999999999,9.185,64.63878326996198,1.8220206922500823,2023-11-08,2023-11-24,16,7.924567499999999,2392816.7640742497,-1037962.0379620349,-1096405.094905092,-5.482025474525459,STOP_LOSS,58443.056943056945,,
2024-09-26,SHB,BREAKOUT,8.26826,7.8469999999999995,9.086,69.62025316455698,3.2436899366145235,2024-09-26,2024-10-28,32,8.02197,2418888.617435833,-595748.0775882716,-654854.4554718891,-3.2742722773594455,MAX_HOLD,59106.37788361759,,
2024-12-11,SHB,BREAKOUT,8.14814,7.7330000000000005,8.954,66.66666666666666,3.3032280010419792,2024-12-11,2024-12-31,20,7.8621300000000005,2454547.9090933637,-702025.247479791,-760972.2096085714,-3.8048610480428566,END_OF_DATA,58946.96212878032,,
2023-04-20,SHB,PULLBACK,7.087079999999999,6.7617,7.67,59.595959595959584,,2023-04-20,2023-04-26,6,6.7549383,2822036.7203418054,-937316.0737567499,-995910.0996461147,-4.979550498230574,STOP_LOSS,58594.02588936487,1.853597235312599,
2023-04-21,SHB,PULLBACK,6.926919999999999,6.8508,7.67,48.38709677419354,,2023-04-21,2023-04-24,3,6.8439492,2887286.124280344,-239560.43956043705,-299201.0989010964,-1.496005494505482,STOP_LOSS,59640.659340659346,10.838150289017284,
2023-04-26,SHB,PULLBACK,6.896889999999999,6.633,7.67,44.508670520231206,,2023-04-26,2023-05-29,33,7.28271,2899857.7619767752,1118823.1217258815,1057144.8870432926,5.285724435216463,MAX_HOLD,61678.23468258882,3.035019455252923,
2023-05-26,SHB,PULLBACK,7.207199999999999,7.0092,7.54,59.64912280701752,,2023-05-26,2023-06-02,7,7.53246,2775002.7750027752,902597.4025974055,841243.5064935094,4.206217532467547,TAKE_PROFIT,61353.89610389611,1.7819706498951746,
2023-06-30,SHB,PULLBACK,7.797789999999999,7.7121,8.11,59.18367346938771,,2023-06-30,2023-07-03,3,8.10189,2564829.265727854,779964.5797078405,718794.6328382787,3.5939731641913935,TAKE_PROFIT,61169.946869561754,4.107830551989742,
2023-08-17,SHB,PULLBACK,9.459449999999999,9.2169,10.01,57.75862068965515,,2023-08-17,2023-08-18,1,9.2076831,2114287.828573543,-532307.6923076882,-591509.2307692267,-2.9575461538461334,STOP_LOSS,59201.53846153847,2.4024024024024198,
2023-09-11,SHB,PULLBACK,9.05905,8.7021,9.64,58.33333333333335,,2023-09-11,2023-09-22,11,8.693397899999999,2207737.014366849,-807263.6755509687,-866052.7800376422,-4.330263900188211,STOP_LOSS,58789.10448667355,1.6958896234550105,
2023-09-13,SHB,PULLBACK,9.099089999999999,8.811,9.64,56.37583892617446,,2023-09-13,2023-09-19,6,8.802189,2198022.0000021984,-652594.929822649,-711616.037427915,-3.558080187139575,STOP_LOSS,59021.10760526602,1.971326164874555,
2023-09-14,SHB,PULLBACK,9.05905,8.8902,9.64,57.53424657534248,,2023-09-14,2023-09-18,4,8.8813098,2207737.014366849,-392403.6184809639,-451815.01305324247,-2.259075065266212,STOP_LOSS,59411.39457227856,3.6921151439298976,
2023-09-15,SHB,PULLBACK,8.98898,8.8902,9.57,52.73972602739725,,2023-09-15,2023-09-18,3,8.8813098,2224946.545659241,-239560.43956043822,-299201.09890109755,-1.4960054945054877,STOP_LOSS,59640.659340659346,6.570155902004429,
